# ================================================================
# Adr Catalog
# ================================================================
# Repo:      L9
# Generated: 2026-02-11 20:18 UTC
# Branch:    main (f0aa4f7f)
# Generator: export_repo_indexes.py v2.2.0
# ================================================================

# L9 Architecture Decision Record (ADR) Catalog
# Generated: 2026-02-11
# Total: 92 ADRs
#
# Format: ADR_NUMBER | STATUS | TITLE | PATH
# ============================================================================

# FOUNDATION (0001-0013)
0027 | Accepted | LRU Cache Pattern | readme/adr/0027-lru-cache-pattern.md
0028 | Accepted | Database Transaction Context | readme/adr/0028-database-transaction-context.md
0029 | Accepted | Embedding Generation Pipeline | readme/adr/0029-embedding-generation-pipeline.md
0030 | Accepted | Kernel YAML Schema | readme/adr/0030-kernel-yaml-schema.md
0031 | Accepted | WebSocket Connection Pattern | readme/adr/0031-websocket-connection-pattern.md
0032 | Accepted | Neo4j Cypher Query Pattern | readme/adr/0032-neo4j-cypher-query-pattern.md
0033 | Accepted | Async Context Manager Pattern | readme/adr/0033-async-context-manager-pattern.md
0034 | Accepted | Agent Capability Scoping | readme/adr/0034-agent-capability-scoping.md
0035 | Accepted | ADR Bootstrap Protocol | readme/adr/0035-adr-bootstrap-protocol.md
0036 | Accepted | Schema Organization Pattern | readme/adr/0036-schema-organization-pattern.md
0037 | Accepted | Tool Wiring Protocol | readme/adr/0037-tool-wiring-protocol.md
0038 | Unknown | Secrets Management Protocol | readme/adr/0038-secrets-management-protocol.md
0039 | Unknown | L9 CLI Tool | readme/adr/0039-l9-cli-tool.md
0040 | Unknown | CI/CD Security Scanning | readme/adr/0040-ci-cd-security-scanning.md
0041 | Proposed | Executor Builder Pattern | readme/adr/0041-executor-builder-pattern.md
0041 | Unknown | Unsafe eval() Remediation | readme/adr/0041-unsafe-eval-remediation.md
0042 | Proposed | Execution Profiles | readme/adr/0042-execution-profiles.md
0043 | Proposed | Controller Profiles | readme/adr/0043-controller-profiles.md
0043 | Unknown | Security & Rate Limiting Architecture | readme/adr/0043-security-rate-limiting-architecture.md
0044 | Proposed | Agent Policy Protocols | readme/adr/0044-agent-policy-protocols.md
0045 | Proposed | Online/Offline Execution Split | readme/adr/0045-online-offline-execution-split.md
0046 | Proposed | Pipeline Stage Organization | readme/adr/0046-pipeline-stage-organization.md
0047 | Proposed | Memory Facade Decomposition | readme/adr/0047-memory-facade-decomposition.md
0048 | Proposed | Tool Dispatch Strategy | readme/adr/0048-tool-dispatch-strategy.md
0049 | Proposed | Checkpoint Plan Snapshots | readme/adr/0049-checkpoint-plan-snapshots.md
0050 | Proposed | Tool Registry Cache | readme/adr/0050-tool-registry-cache.md
0051 | Accepted | Cursor File Organization | readme/adr/0051-cursor-file-organization.md
0052 | Accepted | Dependency Injection and Inversion (DI/DIP) Foundation | readme/adr/0052-di-dip-foundation.md
0053 | Accepted | Kernel Configuration Externalization | readme/adr/0053-kernel-config-externalization.md
0054 | Proposed | Loop Stage Protocol | readme/adr/0054-loop-stage-protocol.md
0055 | Accepted | Fail-Loudly vs Graceful Degradation Policy | readme/adr/0055-fail-loudly-vs-graceful-degradation.md
0058 | Unknown | C1 Kubernetes Deployment Workflow | readme/adr/0058-c1-deployment-workflow.md
0059 | Unknown | Unknown | readme/adr/0059-inline-analysis-script-reports.md
0060 | Accepted | Mediator Pattern for Agent Communication | readme/adr/0060-mediator-pattern-agent-communication.md
0061 | Accepted | L9 Facade Pattern for Simplified API | readme/adr/0061-l9-facade-simplified-api.md
0062 | Unknown | Unknown | readme/adr/0062-deferred-strict-linting.md
0063 | Unknown | Unknown | readme/adr/0063-incremental-config-adoption.md
0064 | Unknown | Unknown | readme/adr/0064-dynamic-tool-discovery.md
0065 | Unknown | Cursor ADR Enforcement Rules | readme/adr/0065-cursor-adr-enforcement.md
0066 | Unknown | AWS S3 Storage Architecture | readme/adr/0066-aws-s3-storage-architecture.md
0066 | Unknown | Unknown | readme/adr/0066-governance-authority-superpack.md
0067 | Unknown | AWS Secrets Manager Integration | readme/adr/0067-aws-secrets-manager-integration.md
0068 | Accepted | Unified Resilience Protocol Layer | readme/adr/0068-unified-resilience-protocol-layer.md
0069 | Accepted | Automated Documentation Generation System | readme/adr/0069-automated-documentation-generation.md
0070 | Unknown | Unknown | readme/adr/0070-session-dag-workflow-orchestration.md
0071 | Unknown | Unknown | readme/adr/0071-fix-violations-not-exclude.md
0072 | Unknown | Unknown | readme/adr/0072-diagnose-before-fix.md
0073 | Unknown | Unknown | readme/adr/0073-evidence-based-claims.md
0074 | Unknown | Unknown | readme/adr/0074-surgical-edits-only.md
0075 | Unknown | Unknown | readme/adr/0075-ask-before-build.md
0076 | Unknown | Unknown | readme/adr/0076-search-before-create.md
0077 | Unknown | Unknown | readme/adr/0077-no-silent-changes.md
0078 | Unknown | Unknown | readme/adr/0078-explicit-approval-destructive-ops.md
0079 | Unknown | Unknown | readme/adr/0079-real-data-only.md
0080 | Unknown | Unknown | readme/adr/0080-understand-user-intent.md
0081 | Unknown | Unknown | readme/adr/0081-phase-discipline.md
0082 | Unknown | Unknown | readme/adr/0082-neo4j-required-not-optional.md
0083 | Unknown | Unknown | readme/adr/0083-datetime-utc-standard.md
0084 | Unknown | Unknown | readme/adr/0084-async-resource-cleanup.md
0085 | Unknown | Unknown | readme/adr/0085-thread-safe-singletons.md
0086 | Unknown | Unknown | readme/adr/0086-safe-type-conversion.md
0087 | Unknown | Unknown | readme/adr/0087-sql-parameterization.md
0088 | Unknown | Unknown | readme/adr/0088-no-pickle-serialization.md
0089 | Unknown | Unknown | readme/adr/0089-hierarchical-compose-symlinks.md
0090 | Unknown | No Hardcoded Credentials in Cursor Rules | readme/adr/0090-no-hardcoded-credentials-in-rules.md
0091 | Unknown | Unknown | readme/adr/0091-definition-of-done.md

# ============================================================================
# AI QUICK REFERENCE - KEY DO NOT's
# ============================================================================

# Do NOT flag as circular import or unused import (ADR-0002)
# do not flag" instructions (ADR-0003)
# DO NOT add manual try/except blocks to `_register_core_singletons()` (ADR-0004)
# DO NOT duplicate validation elsewhere:** (ADR-0012)
# do NOT validate packets (they may not emit packets at all) (ADR-0012)
# DO NOT place before docstring (ADR-0014)
# do not implement     | `# DEPRECATED - DO NOT IMPLEMENT` | (ADR-0037)
# DO NOT IMPLEMENT (ADR-0037)
# Do NOT catch and return None (ADR-0055)
# DO NOT rules     | (ADR-0069)
# DO NOT** manually edit files in `reports/repo-index/` — they are auto-generated (ADR-0069)
# Do NOT suppress errors in hooks/scripts with `2>/dev/null || true` patterns (ADR-0071)
# Do NOT proceed to Phase 5 (ADR-0081)
# do NOT need try/except: (ADR-0086)
