# ================================================================
# Dynamic Tool Catalog
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:23 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 Dynamic Tool Catalog
# =========================
# Auto-discovered ToolDefinition(...) instances across entire codebase.
# Includes: core/tools/, runtime/, core/agents/bootstrap/, services/

## Registered ToolDefinitions

| Tool | Category | Scope | Risk | Igor? | Description | File |
| `mcp_stop_server` | mcp | internal | low | - | Stop a specific MCP server by name. Gracefully ter | core/tools/tool_graph.py |
| `memory_embed_text` | memory | internal | - | - | Generate embedding vector for text | core/tools/tool_graph.py |
| `memory_fetch_facts_api` | memory | internal | - | - | Fetch knowledge facts from memory API | core/tools/tool_graph.py |
| `memory_fetch_insights` | memory | internal | - | - | Fetch insights from memory | core/tools/tool_graph.py |
| `memory_fetch_lineage` | - | - | - | - | - | core/tools/tool_graph.py |
| `memory_fetch_thread` | memory | internal | - | - | Fetch all packets in a conversation thread | core/tools/tool_graph.py |
| `memory_gc_stats` | memory | internal | - | - | Get garbage collection statistics from memory | core/tools/tool_graph.py |
| `memory_get_checkpoint` | memory | internal | low | - | Get current memory checkpoint state. Returns lates | core/tools/tool_graph.py |
| `memory_get_events` | - | - | - | - | - | core/tools/tool_graph.py |
| `memory_get_facts` | memory | internal | - | - | Get knowledge facts by subject from memory graph | core/tools/tool_graph.py |
| `memory_get_packet` | memory | internal | - | - | Get specific packet by ID from memory substrate | core/tools/tool_graph.py |
| `memory_get_reasoning_traces` | memory | internal | - | - | Get L | core/tools/tool_graph.py |
| `memory_health_check` | memory | internal | low | - | Run health check on memory substrate. Verifies Pos | core/tools/tool_graph.py |
| `memory_hybrid_search` | memory | internal | - | - | Hybrid search combining semantic + keyword matchin | core/tools/tool_graph.py |
| `memory_query_packets` | memory | internal | - | - | Query packets with complex filters | core/tools/tool_graph.py |
| `memory_read` | memory | internal | - | - | Read from L9 memory substrate | core/tools/tool_graph.py |
| `memory_search` | memory | - | - | - | Search L9 memory with embeddings | core/tools/tool_graph.py |
| `memory_search_by_thread` | memory | internal | - | - | Search packets by conversation thread ID | core/tools/tool_graph.py |
| `memory_search_by_type` | - | - | - | - | - | core/tools/tool_graph.py |
| `memory_trigger_world_model_update` | memory | internal | medium | - | Trigger a world model update from accumulated memo | core/tools/tool_graph.py |
| `memory_write` | memory | - | - | - | Write to L9 memory substrate | core/tools/tool_graph.py |
| `memory_write_insight` | memory | internal | - | - | Write an insight to memory substrate | core/tools/tool_graph.py |
| `neo4j_query` | knowledge | internal | low | - | Run Cypher queries against Neo4j graph for relatio | core/tools/tool_graph.py |
| `notion_create_page` | integration | external | low | - | Create a Notion page via MCP | core/tools/tool_graph.py |
| `notion_update_page` | integration | external | low | - | Update a Notion page via MCP | core/tools/tool_graph.py |
| `perplexity_search` | research | external | low | - | Search and synthesize information using Perplexity | core/tools/tool_graph.py |
| `redis_decrement_rate_limit` | cache | internal | low | - | Decrement rate limit counter for a key. Returns ne | core/tools/tool_graph.py |
| `redis_delete` | cache | internal | medium | - | Delete a key from Redis | core/tools/tool_graph.py |
| `redis_dequeue_task` | cache | internal | low | - | Dequeue task from Redis queue | core/tools/tool_graph.py |
| `redis_enqueue_task` | cache | internal | medium | - | Enqueue a task to Redis queue | core/tools/tool_graph.py |
| `redis_get` | cache | internal | low | - | Get value from Redis cache | core/tools/tool_graph.py |
| `redis_get_rate_limit` | cache | internal | low | - | Get current rate limit counter for a key. Returns  | core/tools/tool_graph.py |
| `redis_get_task_context` | cache | internal | low | - | Get cached task context from Redis | core/tools/tool_graph.py |
| `redis_increment_rate_limit` | cache | internal | low | - | Increment rate limit counter for a key. Returns ne | core/tools/tool_graph.py |
| `redis_keys` | cache | internal | low | - | List Redis keys matching a pattern | core/tools/tool_graph.py |
| `redis_queue_size` | cache | internal | low | - | Get size of a Redis task queue | core/tools/tool_graph.py |
| `redis_set` | cache | internal | low | - | Set value in Redis cache with optional TTL | core/tools/tool_graph.py |
| `redis_set_rate_limit` | cache | internal | low | - | Set rate limit for a key with TTL. Establishes quo | core/tools/tool_graph.py |
| `redis_set_task_context` | cache | internal | medium | - | Set task context in Redis cache | core/tools/tool_graph.py |
| `reflection_agent_analyze_failure` | reflection | internal | low | - | Deep failure root cause analysis via ReflectionAge | core/tools/tool_graph.py |
| `reflection_agent_compare_approaches` | - | - | - | - | - | core/tools/tool_graph.py |
| `reflection_agent_extract_patterns` | reflection | internal | low | - | Extract patterns from examples via ReflectionAgent | core/tools/tool_graph.py |
| `reflection_agent_generate_improvements` | reflection | internal | low | - | Generate improvement plan from current performance | core/tools/tool_graph.py |
| `reflection_agent_reflect` | reflection | internal | low | - | Execute reflection on execution history via Reflec | core/tools/tool_graph.py |
| `research_agent_discover` | - | - | - | - | - | core/tools/tool_graph.py |
| `research_agent_generate_spec` | research | internal | low | - | Generate Module-Spec-v2.4 YAML via ResearchAgent.  | core/tools/tool_graph.py |
| `research_agent_synthesize` | - | - | - | - | - | core/tools/tool_graph.py |
| `run_research_query` | - | - | - | - | - | core/tools/tool_graph.py |
| `saga_enrich_entities` | memory | internal | low | - | Cross-DB saga: lookup entities by ID → enrich with | core/tools/tool_graph.py |
| `saga_execute_custom` | memory | internal | medium | - | Execute a custom saga with user-defined steps. Eac | core/tools/tool_graph.py |
| `saga_fetch_and_enrich` | - | - | - | - | - | core/tools/tool_graph.py |
| `saga_timeline_correlation` | - | - | - | - | - | core/tools/tool_graph.py |
| `schema_introspect_neo4j` | - | - | - | - | - | core/tools/tool_graph.py |
| `schema_introspect_postgres` | - | - | - | - | - | core/tools/tool_graph.py |
| `simulation` | simulation | internal | low | - | Run simulation with given parameters. Executes dis | core/tools/tool_graph.py |
| `slack_file_fetch` | - | - | - | - | - | core/tools/tool_graph.py |
| `slack_file_list` | - | - | - | - | - | core/tools/tool_graph.py |
| `slack_file_upload` | communication | external | medium | - | Upload a file to a Slack channel or thread. Suppor | core/tools/tool_graph.py |
| `slack_send` | communication | external | low | False | Send a message to a Slack channel or DM. Supports  | core/tools/tool_graph.py |
| `symbolic_codegen` | computation | internal | low | - | Generate code from symbolic expressions. Converts  | core/tools/tool_graph.py |
| `symbolic_compute` | - | - | - | - | - | core/tools/tool_graph.py |
| `symbolic_optimize` | computation | internal | low | - | Optimize symbolic expressions. Simplifies, factors | core/tools/tool_graph.py |
| `tool_router_find` | introspection | internal | low | - | Find relevant tools for a task using semantic sear | core/tools/tool_graph.py |
| `tool_router_list` | introspection | internal | low | - | List all available tools in the tool router | core/tools/tool_graph.py |
| `tools_detect_circular_deps` | introspection | internal | low | - | Detect circular dependencies in tool graph. Return | core/tools/tool_graph.py |
| `tools_get_api_dependents` | introspection | internal | low | - | Get tools that depend on a specific external API.  | core/tools/tool_graph.py |
| `tools_get_blast_radius` | introspection | internal | low | - | Calculate blast radius for a tool or API change. S | core/tools/tool_graph.py |
| `tools_get_by_type` | introspection | internal | low | - | Get all tools of a specific type | core/tools/tool_graph.py |
| `tools_get_catalog` | introspection | internal | low | - | Get full tool catalog with metadata. Returns all r | core/tools/tool_graph.py |
| `tools_get_dependencies` | introspection | internal | low | - | Get dependencies for a tool. Returns tools that th | core/tools/tool_graph.py |
| `tools_get_for_role` | introspection | internal | low | - | Get all tools available for a role | core/tools/tool_graph.py |
| `tools_get_metadata` | introspection | internal | low | - | Get detailed metadata for a tool | core/tools/tool_graph.py |
| `tools_get_schema` | introspection | internal | low | - | Get OpenAI function schema for a tool | core/tools/tool_graph.py |
| `tools_list_all` | introspection | internal | low | - | List all registered tools | core/tools/tool_graph.py |
| `tools_list_enabled` | introspection | internal | low | - | List only enabled tools | core/tools/tool_graph.py |
| `vercel_get_deploy_status` | integration | external | low | - | Get Vercel deployment status via MCP | core/tools/tool_graph.py |
| `vercel_trigger_deploy` | integration | external | high | True | Trigger a Vercel deployment via MCP | core/tools/tool_graph.py |
| `web_search` | research | - | - | - | Search the web using Firecrawl | core/tools/tool_graph.py |
| `world_model_get_entity` | knowledge | internal | low | - | Get entity from world model by ID | core/tools/tool_graph.py |
| `world_model_get_state_version` | knowledge | internal | low | - | Get current world model state version | core/tools/tool_graph.py |
| `world_model_list_entities` | knowledge | internal | low | - | List entities from world model | core/tools/tool_graph.py |
| `world_model_list_snapshots` | knowledge | internal | low | - | List recent world model snapshots | core/tools/tool_graph.py |
| `world_model_list_updates` | knowledge | internal | low | - | List recent world model updates. Returns update hi | core/tools/tool_graph.py |
| `world_model_query` | knowledge | internal | - | - | Query the world model for knowledge | core/tools/tool_graph.py |
| `world_model_restore` | knowledge | internal | high | - | Restore world model to a previous snapshot. Revert | core/tools/tool_graph.py |
| `world_model_send_insights` | knowledge | internal | medium | - | Send insights for world model update | core/tools/tool_graph.py |
| `world_model_snapshot` | knowledge | internal | medium | - | Create snapshot of world model state | core/tools/tool_graph.py |

# Total: 119 unique ToolDefinitions

## Tool Implementation Classes

| Class | File | Purpose |
|-------|------|---------|
| `AgentSelfModifyTool` | core/tools/agent_self_modify.py | Allow agents to modify their own graph state. |
| `CachedToolRegistry` | core/tools/registry_cache.py | Wrapper for tool registry with caching. |
| `DynamicToolDiscoveryService` | core/tools/semantic_discovery.py | Production-grade tool discovery using L9's pgvecto |
| `ExecutorToolRegistry` | core/tools/registry_adapter.py | Tool registry adapter for AgentExecutorService. |
| `SemanticToolSearchAdapter` | core/tools/semantic_tool_search.py | Adapter for semantic tool search using L9's pgvect |
| `SymbolicComputationTool` | core/tools/symbolic_tool.py | L9 Tool wrapper for symbolic computation. |
| `ToolAuditEntry` | core/tools/tool_audit.py | Record of single tool execution |
| `ToolAuditService` | core/tools/tool_audit.py | Initializes the ToolAuditService for tracking tool |
| `ToolContextFormatter` | core/tools/semantic_discovery.py | Format discovered tools into LLM-ready prompt sect |
| `ToolCostEstimator` | core/tools/tool_audit.py | Estimate cost per tool call |
| `ToolDefinition` | core/tools/semantic_discovery.py | Complete tool specification for discovery. |
| `ToolDefinition` | core/tools/tool_graph.py | Definition of a tool for graph registration. |
| `ToolEmbeddingResult` | core/tools/tool_embeddings.py | Result from tool embedding search. |
| `ToolExecutor` | core/tools/registry_adapter.py | Protocol for tool executors. |
| `ToolGraph` | core/tools/tool_graph.py | Tool dependency graph backed by Neo4j. |
| `ToolInputSanitizationError` | core/tools/sanitizer.py | Raised when tool input cannot be sanitized/validat |
| `ToolInputSanitizer` | core/tools/sanitizer.py | Centralized input sanitization for tool arguments. |
| `ToolInputSanitizerConfig` | core/tools/sanitizer.py | Configuration class for tool input sanitization pa |
| `ToolMetadata` | core/tools/base_registry.py | Metadata for a registered tool. |
| `ToolRegistry` | core/tools/base_registry.py | In-memory registry of available tools. |
| `ToolRegistryCache` | core/tools/registry_cache.py | High-performance caching layer for tool registry. |
| `ToolSchema` | core/tools/base_registry.py | JSON Schema for tool parameters (OpenAI function c |
| `ToolSearchOptimizer` | core/tools/semantic_tool_search.py | Optimize tool availability based on usage patterns |
| `ToolSearchResult` | core/tools/semantic_tool_search.py | Result from semantic tool search. |
| `ToolStatus` | core/tools/semantic_discovery.py | Tool availability states |
| `ToolType` | core/tools/base_registry.py | Types of available tools. |
